gene_symbol,n_groups,mean_log2FC
Wasl,5,-0.1964808943644107
Kcna1,5,0.03459106401155374
Islr2,5,-1.7219640201198103
Kcna5,5,0.36087019112518604
Mtch1,5,0.19909112924910666
Smg7,5,-0.07412869700220091
Irs2,5,-0.16103405064768558
Irs1,5,0.20539520215275062
Camsap2,5,0.33474009505559127
Mta3,5,0.11097409977624735
Mrps18a,5,0.05743535527829543
Sgta,5,0.1427154782442307
Mrps11,5,0.09263771235893467
Sesn3,5,0.16524123515070882
Bex3,5,0.31705410234542114
Avpi1,5,0.28610402514370215
Avl9,5,-0.09288474243762872
Med14,5,-0.11419899387532494
Xk,5,-0.2593756431661722
Bicd1,5,-0.003524092606395579
Med21,5,-0.10070791553417621
Serp1,5,-0.21764848563766312
Setd7,5,0.22894080164225405
Serf2,5,0.10895315242810004
Wwp2,5,0.17954962899777405
Slc1a2,5,-0.08988761334171877
Lnpep,5,0.8697467197463498
Slc25a16,5,-0.13011484429821407
Atp8a1,5,-0.0979900257800463
Bmi1,5,-0.2514141365648087
Bex2,5,0.11088587074863603
Mdga1,5,0.11988578239804254
Lin7c,5,-0.1024637927610469
Bcl2l1,5,0.2538905102708557
