accession,gse,comparison,treatment,treatment_class,control,symbol,log2FC,padj,direction,group
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Fam111a,-0.6289610969629392,0.0147430728303306,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,4930404H24Rik,1.3407009433721535,0.0147598408437275,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Notum,0.5003128154298256,0.0147953538594716,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm14569,-0.5507016029699616,0.0149028799757396,DOWN,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Vsig8,1.2391981126729397,0.0149196412791708,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Fam186b,0.6925716499531203,0.0150061842978789,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm26520,2.427581295132931,0.015019460409669,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm52131,1.7355065918911785,0.0151149698479552,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118567782,1.6732934340432617,0.0152025492004047,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,LOC118568710,0.661636103920315,0.0153447337761107,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,3300002A11Rik,2.64516175614298,0.0153885746831387,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,C030034L19Rik,1.3210631951769054,0.015468902861504,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm17501,0.7222939571010968,0.0156193736029136,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm51535,0.6242391933523879,0.0157947852826966,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm41414,1.3105684536376894,0.0158597468043089,UP,GLP1_Mono|agedst_hippocampus
8,GSE113071,agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl,ST_A_Ex,GLP1_Mono,ST_A_ctrl,Gm6568,-1.587923539796111,0.0158812377816254,DOWN,GLP1_Mono|agedst_hippocampus
